ID;SBI;SBI_letter;Datum;Voorbeeldbedrijf;KVK;Ziekteverzyuim 2022;Ziekteverzuim 2023;Ziekteverzuim 2024;Gem. maandloon (excl. Overwerk);Gem. jaarloon (excl. Overwerk);Totale loonsom;Sectorgrootte;Man;Man-geb-datum;Vrouw;Vrouw-geb.datum;Aantal medewerkers;Gender dominance;Age dominance;Average age;Premie prijs_CB;Price_without_overhead;Estimated_SickLeave_CB;PriceCB from total wage;Premie prijs/pp_CB;UWV_Fixed_costs;UWV_Variable costs;Sickleave_new_model_C90;UWV_Premium_Price;UWV_Premium from Total wage;UWV_Premium_Price/PP;Difference_ABS;Difference_PP;Difference_%;Difference_Ziekteverzuim;Actuals_2024;Difference_Actuals_CB;Difference_actuals_UWV;Percentage_of_Total_Wage_UWV;Percentage_of_Total_Wage_CB;Difference_Percentage_Total_wage;Comeptitive;;;;;;;;
I Horeca-2025Q1-1 tot 10 werkzame personen;I Horeca;I;2025Q1;Van der Valk Hotels & Restaurants;61988243;4,7;3,9;4,3; € 1.401 ; € 16.812 ; € 84.060 ; 1 tot 10 werkzame personen ;4;1995;1;1998;5;Men;Young;29; € 4.398,60 ; € 3.824,87 ;4,55%;5,23%; € 879,72 ;315;15%;2,07; € 2.312,51 ;2,75%; € 462,50 ; € -2.086,09 ; € -417,22 ;-47%;2,5%;3,4%;-1,2%;1,3%;2,8%;5,2%;47,4%;Yes;;;;;;;;
J Informatie en communicatie-2025Q1-1 tot 10 werkzame personen;J Informatie en communicatie;J;2025Q1;KPN N.V.;2045200;3,9;3,9;3,9; € 4.813 ; € 57.756 ; € 288.780 ; 1 tot 10 werkzame personen ;4;1995;1;1998;5;Men;Young;29; € 8.576,88 ; € 7.458,16 ;2,58%;2,97%; € 1.715,38 ;315;15%;2,13; € 7.401,80 ;2,56%; € 1.480,36 ; € -1.175,08 ; € -235,02 ;-14%;0,4%;3,8%;1,2%;1,7%;2,6%;3,0%;13,7%;Yes;;;;;;;;
K Financiële dienstverlening-2025Q1-1 tot 10 werkzame personen;K Financiële dienstverlening;K;2025Q1;ING Bank N.V.;33031431;3,2;3,3;3,25; € 5.564 ; € 66.768 ; € 333.840 ; 1 tot 10 werkzame personen ;4;1995;1;1998;5;Men;Young;29; € 12.595,08 ; € 10.952,24 ;3,28%;3,77%; € 2.519,02 ;315;15%;1,93; € 7.735,27 ;2,32%; € 1.547,05 ; € -4.859,81 ; € -971,96 ;-39%;1,3%;3,8%;0,5%;1,9%;2,3%;3,8%;38,6%;Yes;;;;;;;;
L Verhuur en handel van onroerend goed-2025Q1-1 tot 10 werkzame personen;L Verhuur en handel van onroerend goed;L;2025Q1;Vesteda Investment Management B.V.;14071789;4,3;4,2;4,25; € 3.940 ; € 47.280 ; € 236.400 ; 1 tot 10 werkzame personen ;4;1995;1;1998;5;Men;Young;29; € 10.395,96 ; € 9.039,97 ;3,82%;4,40%; € 2.079,19 ;315;15%;1,94; € 5.587,76 ;2,36%; € 1.117,55 ; € -4.808,20 ; € -961,64 ;-46%;1,9%;3,8%;0,0%;1,9%;2,4%;4,4%;46,3%;Yes;;;;;;;;
M Specialistische zakelijke diensten-2025Q1-1 tot 10 werkzame personen;M Specialistische zakelijke diensten;M;2025Q1;Deloitte Nederland;24283607;3,8;3,6;3,7; € 4.519 ; € 54.228 ; € 271.140 ; 1 tot 10 werkzame personen ;4;1995;1;1998;5;Men;Young;29; € 5.755,92 ; € 5.005,15 ;1,85%;2,12%; € 1.151,18 ;315;15%;1,74; € 5.726,69 ;2,11%; € 1.145,34 ; € -29,23 ; € -5,85 ;-1%;0,1%;3,4%;1,6%;1,7%;2,1%;2,1%;0,5%;Yes;;;;;;;;
N Verhuur en overige zakelijke diensten-2025Q1-1 tot 10 werkzame personen;N Verhuur en overige zakelijke diensten;N;2025Q1;Randstad Nederland B.V.;33149482;4,9;4,6;4,75; € 2.339 ; € 28.068 ; € 140.340 ; 1 tot 10 werkzame personen ;4;1995;1;1998;5;Men;Young;29; € 7.073,52 ; € 6.150,89 ;4,38%;5,04%; € 1.414,70 ;315;15%;2,43; € 4.228,83 ;3,01%; € 845,77 ; € -2.844,69 ; € -568,94 ;-40%;2,0%;4,7%;0,3%;2,3%;3,0%;5,0%;40,2%;Yes;;;;;;;;
O Openbaar bestuur en overheidsdiensten-2025Q1-1 tot 10 werkzame personen;O Openbaar bestuur en overheidsdiensten;O;2025Q1;Gemeente Utrecht;30280353;6,1;6;6,05; € 4.431 ; € 53.172 ; € 265.860 ; 1 tot 10 werkzame personen ;4;1995;1;1998;5;Men;Young;29; € 9.678,00 ; € 8.415,65 ;3,17%;3,64%; € 1.935,60 ;315;15%;3,08; € 9.720,56 ;3,66%; € 1.944,11 ; € 42,56 ; € 8,51 ;0%;0,1%;6,1%;2,9%;3,0%;3,7%;3,6%;-0,4%;No;;;;;;;;
P Onderwijs-2025Q1-1 tot 10 werkzame personen;P Onderwijs;P;2025Q1;Universiteit van Amsterdam;34370207;5,7;5,6;5,65; € 3.599 ; € 43.188 ; € 215.940 ; 1 tot 10 werkzame personen ;4;1995;1;1998;5;Men;Young;29; € 10.965,72 ; € 9.535,41 ;4,42%;5,08%; € 2.193,14 ;315;15%;2,90; € 7.525,99 ;3,49%; € 1.505,20 ; € -3.439,73 ; € -687,95 ;-31%;1,5%;5,6%;1,2%;2,7%;3,5%;5,1%;31,4%;Yes;;;;;;;;
Q Gezondheids- en welzijnszorg-2025Q1-1 tot 10 werkzame personen;Q Gezondheids- en welzijnszorg;Q;2025Q1;Vrije Universiteit;53815211;7,9;7,4;7,65; € 2.847 ; € 34.164 ; € 170.820 ; 1 tot 10 werkzame personen ;4;1995;1;1998;5;Men;Young;29; € 9.910,68 ; € 8.617,98 ;5,05%;5,80%; € 1.982,14 ;315;15%;3,78; € 7.740,53 ;4,53%; € 1.548,11 ; € -2.170,15 ; € -434,03 ;-22%;1,3%;7,3%;2,3%;3,5%;4,5%;5,8%;21,9%;Yes;;;;;;;;
R Cultuur, sport en recreatie-2025Q1-1 tot 10 werkzame personen;R Cultuur, sport en recreatie;R;2025Q1;Rijksmuseum;41169522;5,2;4,6;4,9; € 2.275 ; € 27.300 ; € 136.500 ; 1 tot 10 werkzame personen ;4;1995;1;1998;5;Men;Young;29; € 6.525,60 ; € 5.674,43 ;4,16%;4,78%; € 1.305,12 ;315;15%;2,38; € 4.054,01 ;2,97%; € 810,80 ; € -2.471,59 ; € -494,32 ;-38%;1,8%;4,6%;0,4%;2,2%;3,0%;4,8%;37,9%;Yes;;;;;;;;
S Overige dienstverlening-2025Q1-1 tot 10 werkzame personen;S Overige dienstverlening;S;2025Q1;ANWB;17097279;5,4;5;5,2; € 2.929 ; € 35.148 ; € 175.740 ; 1 tot 10 werkzame personen ;4;1995;1;1998;5;Men;Young;29; € 10.167,00 ; € 8.840,87 ;5,03%;5,79%; € 2.033,40 ;315;15%;2,34; € 5.037,35 ;2,87%; € 1.007,47 ; € -5.129,65 ; € -1.025,93 ;-50%;2,7%;4,4%;-0,6%;2,1%;2,9%;5,8%;50,5%;Yes;;;;;;;;
A Landbouw, bosbouw en visserij-2025Q1-1 tot 10 werkzame personen;A Landbouw, bosbouw en visserij;A;2025Q1;vof J.J.C. de Man;80496377;3,7;3,6;3,65; € 2.522 ; € 30.264 ; € 151.320 ; 1 tot 10 werkzame personen ;1;1998;4;1995;5;Woman;Young;29; € 8.970,36 ; € 7.800,31 ;5,15%;5,93%; € 1.794,07 ;315;15%;1,93; € 3.672,49 ;2,43%; € 734,50 ; € -5.297,87 ; € -1.059,57 ;-59%;3,2%;3,5%;-1,7%;1,6%;2,4%;5,9%;59,1%;Yes;;;;;;;;
B Delfstoffenwinning-2025Q1-1 tot 10 werkzame personen;B Delfstoffenwinning;B;2025Q1;RGV Delfstoffen B.V.;8112449;4,7;4,8;4,75; € 6.393 ; € 76.716 ; € 383.580 ; 1 tot 10 werkzame personen ;1;1998;4;1995;5;Woman;Young;29; € 19.154,16 ; € 16.655,79 ;4,34%;4,99%; € 3.830,83 ;315;15%;2,44; € 11.078,55 ;2,89%; € 2.215,71 ; € -8.075,61 ; € -1.615,12 ;-42%;1,9%;4,6%;0,3%;2,2%;2,9%;5,0%;42,2%;Yes;;;;;;;;
C Industrie-2025Q1-1 tot 10 werkzame personen;C Industrie;C;2025Q1;Philips Nederland B.V.;17001910;6,5;6,1;6,3; € 4.093 ; € 49.116 ; € 245.580 ; 1 tot 10 werkzame personen ;1;1998;4;1995;5;Woman;Young;29; € 7.494,12 ; € 6.516,63 ;2,65%;3,05%; € 1.498,82 ;315;15%;3,16; € 9.253,08 ;3,77%; € 1.850,62 ; € 1.758,96 ; € 351,79 ;23%;-0,5%;6,1%;3,4%;2,9%;3,8%;3,1%;-23,5%;No;;;;;;;;
D Energievoorziening-2025Q1-1 tot 10 werkzame personen;D Energievoorziening;D;2025Q1;Essent N.V.;17115973;5;4,8;4,9; € 5.243 ; € 62.916 ; € 314.580 ; 1 tot 10 werkzame personen ;1;1998;4;1995;5;Woman;Young;29; € 15.544,44 ; € 13.516,90 ;4,30%;4,94%; € 3.108,89 ;315;15%;2,45; € 9.180,25 ;2,92%; € 1.836,05 ; € -6.364,19 ; € -1.272,84 ;-41%;1,8%;4,7%;0,4%;2,2%;2,9%;4,9%;40,9%;Yes;;;;;;;;
E Waterbedrijven en afvalbeheer-2025Q1-1 tot 10 werkzame personen;E Waterbedrijven en afvalbeheer;E;2025Q1;Vitens N.V.;5069581;6,7;6,3;6,5; € 3.934 ; € 47.208 ; € 236.040 ; 1 tot 10 werkzame personen ;1;1998;4;1995;5;Woman;Young;29; € 13.615,32 ; € 11.839,41 ;5,02%;5,77%; € 2.723,06 ;315;15%;3,12; € 8.784,42 ;3,72%; € 1.756,88 ; € -4.830,90 ; € -966,18 ;-35%;1,9%;6,5%;1,5%;3,4%;3,7%;5,8%;35,5%;Yes;;;;;;;;
F Bouwnijverheid-2025Q1-1 tot 10 werkzame personen;F Bouwnijverheid;F;2025Q1;BAM Groep nv;30058019;5,3;4,8;5,05; € 4.197 ; € 50.364 ; € 251.820 ; 1 tot 10 werkzame personen ;1;1998;4;1995;5;Woman;Young;29; € 12.745,68 ; € 11.083,20 ;4,40%;5,06%; € 2.549,14 ;315;15%;2,22; € 6.744,07 ;2,68%; € 1.348,81 ; € -6.001,61 ; € -1.200,32 ;-47%;2,2%;4,6%;0,2%;2,4%;2,7%;5,1%;47,1%;Yes;;;;;;;;
G Handel-2025Q1-1 tot 10 werkzame personen;G Handel;G;2025Q1;Ahold Delhaize;34166262;5;4,6;4,8; € 2.534 ; € 30.408 ; € 152.040 ; 1 tot 10 werkzame personen ;1;1998;4;1995;5;Woman;Young;29; € 5.496,12 ; € 4.779,23 ;3,14%;3,61%; € 1.099,22 ;315;15%;2,51; € 4.695,14 ;3,09%; € 939,03 ; € -800,98 ; € -160,20 ;-15%;0,6%;4,6%;1,5%;2,1%;3,1%;3,6%;14,6%;Yes;;;;;;;;
H Vervoer en opslag-2025Q1-1 tot 10 werkzame personen;H Vervoer en opslag;H;2025Q1;KLM Royal Dutch Airlines;33014286;6,4;6,3;6,35; € 3.476 ; € 41.712 ; € 208.560 ; 1 tot 10 werkzame personen ;1;1998;4;1995;5;Woman;Young;29; € 12.043,68 ; € 10.472,77 ;5,02%;5,77%; € 2.408,74 ;315;15%;3,16; € 7.895,79 ;3,79%; € 1.579,16 ; € -4.147,89 ; € -829,58 ;-34%;1,9%;6,2%;1,2%;3,0%;3,8%;5,8%;34,4%;Yes;;;;;;;;
I Horeca-2025Q1-1 tot 10 werkzame personen;I Horeca;I;2025Q1;Van der Valk Hotels & Restaurants;61988243;4,7;3,9;4,3; € 1.401 ; € 16.812 ; € 84.060 ; 1 tot 10 werkzame personen ;1;1998;4;1995;5;Woman;Young;29; € 5.314,68 ; € 4.621,46 ;5,50%;6,32%; € 1.062,94 ;315;15%;2,07; € 2.312,51 ;2,75%; € 462,50 ; € -3.002,17 ; € -600,43 ;-56%;3,4%;3,4%;-2,1%;1,3%;2,8%;6,3%;56,5%;Yes;;;;;;;;
J Informatie en communicatie-2025Q1-1 tot 10 werkzame personen;J Informatie en communicatie;J;2025Q1;KPN N.V.;2045200;3,9;3,9;3,9; € 4.813 ; € 57.756 ; € 288.780 ; 1 tot 10 werkzame personen ;1;1998;4;1995;5;Woman;Young;29; € 11.118,12 ; € 9.667,93 ;3,35%;3,85%; € 2.223,62 ;315;15%;2,13; € 7.401,80 ;2,56%; € 1.480,36 ; € -3.716,32 ; € -743,26 ;-33%;1,2%;3,8%;0,5%;1,7%;2,6%;3,9%;33,4%;Yes;;;;;;;;
K Financiële dienstverlening-2025Q1-1 tot 10 werkzame personen;K Financiële dienstverlening;K;2025Q1;ING Bank N.V.;33031431;3,2;3,3;3,25; € 5.564 ; € 66.768 ; € 333.840 ; 1 tot 10 werkzame personen ;1;1998;4;1995;5;Woman;Young;29; € 16.434,24 ; € 14.290,64 ;4,28%;4,92%; € 3.286,85 ;315;15%;1,93; € 7.735,27 ;2,32%; € 1.547,05 ; € -8.698,97 ; € -1.739,79 ;-53%;2,3%;3,8%;-0,5%;1,9%;2,3%;4,9%;52,9%;Yes;;;;;;;;
L Verhuur en handel van onroerend goed-2025Q1-1 tot 10 werkzame personen;L Verhuur en handel van onroerend goed;L;2025Q1;Vesteda Investment Management B.V.;14071789;4,3;4,2;4,25; € 3.940 ; € 47.280 ; € 236.400 ; 1 tot 10 werkzame personen ;1;1998;4;1995;5;Woman;Young;29; € 13.327,32 ; € 11.588,97 ;4,90%;5,64%; € 2.665,46 ;315;15%;1,94; € 5.587,76 ;2,36%; € 1.117,55 ; € -7.739,56 ; € -1.547,91 ;-58%;3,0%;3,8%;-1,1%;1,9%;2,4%;5,6%;58,1%;Yes;;;;;;;;
M Specialistische zakelijke diensten-2025Q1-1 tot 10 werkzame personen;M Specialistische zakelijke diensten;M;2025Q1;Deloitte Nederland;24283607;3,8;3,6;3,7; € 4.519 ; € 54.228 ; € 271.140 ; 1 tot 10 werkzame personen ;1;1998;4;1995;5;Woman;Young;29; € 7.355,52 ; € 6.396,10 ;2,36%;2,71%; € 1.471,10 ;315;15%;1,74; € 5.726,69 ;2,11%; € 1.145,34 ; € -1.628,83 ; € -325,77 ;-22%;0,6%;3,4%;1,0%;1,7%;2,1%;2,7%;22,1%;Yes;;;;;;;;
N Verhuur en overige zakelijke diensten-2025Q1-1 tot 10 werkzame personen;N Verhuur en overige zakelijke diensten;N;2025Q1;Randstad Nederland B.V.;33149482;4,9;4,6;4,75; € 2.339 ; € 28.068 ; € 140.340 ; 1 tot 10 werkzame personen ;1;1998;4;1995;5;Woman;Young;29; € 8.757,60 ; € 7.615,30 ;5,43%;6,24%; € 1.751,52 ;315;15%;2,43; € 4.228,83 ;3,01%; € 845,77 ; € -4.528,77 ; € -905,75 ;-52%;3,0%;4,7%;-0,7%;2,3%;3,0%;6,2%;51,7%;Yes;;;;;;;;
O Openbaar bestuur en overheidsdiensten-2025Q1-1 tot 10 werkzame personen;O Openbaar bestuur en overheidsdiensten;O;2025Q1;Gemeente Utrecht;30280353;6,1;6;6,05; € 4.431 ; € 53.172 ; € 265.860 ; 1 tot 10 werkzame personen ;1;1998;4;1995;5;Woman;Young;29; € 12.628,92 ; € 10.981,67 ;4,13%;4,75%; € 2.525,78 ;315;15%;3,08; € 9.720,56 ;3,66%; € 1.944,11 ; € -2.908,36 ; € -581,67 ;-23%;1,1%;6,1%;2,0%;3,0%;3,7%;4,8%;23,0%;Yes;;;;;;;;
P Onderwijs-2025Q1-1 tot 10 werkzame personen;P Onderwijs;P;2025Q1;Universiteit van Amsterdam;34370207;5,7;5,6;5,65; € 3.599 ; € 43.188 ; € 215.940 ; 1 tot 10 werkzame personen ;1;1998;4;1995;5;Woman;Young;29; € 14.075,28 ; € 12.239,37 ;5,67%;6,52%; € 2.815,06 ;315;15%;2,90; € 7.525,99 ;3,49%; € 1.505,20 ; € -6.549,29 ; € -1.309,86 ;-47%;2,8%;5,6%;-0,1%;2,7%;3,5%;6,5%;46,5%;Yes;;;;;;;;
Q Gezondheids- en welzijnszorg-2025Q1-1 tot 10 werkzame personen;Q Gezondheids- en welzijnszorg;Q;2025Q1;Vrije Universiteit;53815211;7,9;7,4;7,65; € 2.847 ; € 34.164 ; € 170.820 ; 1 tot 10 werkzame personen ;1;1998;4;1995;5;Woman;Young;29; € 12.541,20 ; € 10.905,39 ;6,38%;7,34%; € 2.508,24 ;315;15%;3,78; € 7.740,53 ;4,53%; € 1.548,11 ; € -4.800,67 ; € -960,13 ;-38%;2,6%;7,3%;0,9%;3,5%;4,5%;7,3%;38,3%;Yes;;;;;;;;
R Cultuur, sport en recreatie-2025Q1-1 tot 10 werkzame personen;R Cultuur, sport en recreatie;R;2025Q1;Rijksmuseum;41169522;5,2;4,6;4,9; € 2.275 ; € 27.300 ; € 136.500 ; 1 tot 10 werkzame personen ;1;1998;4;1995;5;Woman;Young;29; € 8.067,96 ; € 7.015,62 ;5,14%;5,91%; € 1.613,59 ;315;15%;2,38; € 4.054,01 ;2,97%; € 810,80 ; € -4.013,95 ; € -802,79 ;-50%;2,8%;4,6%;-0,5%;2,2%;3,0%;5,9%;49,8%;Yes;;;;;;;;
S Overige dienstverlening-2025Q1-1 tot 10 werkzame personen;S Overige dienstverlening;S;2025Q1;ANWB;17097279;5,4;5;5,2; € 2.929 ; € 35.148 ; € 175.740 ; 1 tot 10 werkzame personen ;1;1998;4;1995;5;Woman;Young;29; € 12.873,36 ; € 11.194,23 ;6,37%;7,33%; € 2.574,67 ;315;15%;2,34; € 5.037,35 ;2,87%; € 1.007,47 ; € -7.836,01 ; € -1.567,20 ;-61%;4,0%;4,4%;-2,0%;2,1%;2,9%;7,3%;60,9%;Yes;;;;;;;;
A Landbouw, bosbouw en visserij-2025Q1-10 tot 100 werkzame personen;A Landbouw, bosbouw en visserij;A;2025Q1;vof J.J.C. de Man;80496377;3,7;3,6;3,65; € 2.522 ; € 30.264 ; € 1.482.936 ;10 tot 100 werkzame personen;39;1970;10;1980;49;Men;Old;52; € 143.723,40 ; € 124.976,87 ;8,43%;9,69%; € 2.933,13 ;315;15%;3,55; € 60.815,34 ;4,10%; € 1.241,13 ; € -82.908,06 ; € -1.692,00 ;-58%;4,9%;3,5%;-4,9%;0,0%;4,1%;9,7%;57,7%;Yes;;;;;;;;
B Delfstoffenwinning-2025Q1-10 tot 100 werkzame personen;B Delfstoffenwinning;B;2025Q1;RGV Delfstoffen B.V.;8112449;4,7;4,8;4,75; € 6.393 ; € 76.716 ; € 3.759.084 ;10 tot 100 werkzame personen;39;1970;10;1980;49;Men;Old;52; € 273.243,72 ; € 237.603,23 ;6,32%;7,27%; € 5.576,40 ;315;15%;4,49; € 194.269,12 ;5,17%; € 3.964,68 ; € -78.974,60 ; € -1.611,73 ;-29%;1,8%;4,6%;-1,7%;0,1%;5,2%;7,3%;28,9%;Yes;;;;;;;;
C Industrie-2025Q1-10 tot 100 werkzame personen;C Industrie;C;2025Q1;Philips Nederland B.V.;17001910;6,5;6,1;6,3; € 4.093 ; € 49.116 ; € 2.406.684 ;10 tot 100 werkzame personen;39;1970;10;1980;49;Men;Old;52; € 141.738,72 ; € 123.251,06 ;5,12%;5,89%; € 2.892,63 ;315;15%;5,82; € 161.374,98 ;6,71%; € 3.293,37 ; € 19.636,26 ; € 400,74 ;14%;-0,7%;6,1%;1,0%;0,3%;6,7%;5,9%;-13,9%;No;;;;;;;;
D Energievoorziening-2025Q1-10 tot 100 werkzame personen;D Energievoorziening;D;2025Q1;Essent N.V.;17115973;5;4,8;4,9; € 5.243 ; € 62.916 ; € 3.082.884 ;10 tot 100 werkzame personen;39;1970;10;1980;49;Men;Old;52; € 220.876,56 ; € 192.066,57 ;6,23%;7,16%; € 4.507,68 ;315;15%;4,51; € 160.062,57 ;5,19%; € 3.266,58 ; € -60.813,99 ; € -1.241,10 ;-28%;1,7%;4,7%;-1,5%;0,2%;5,2%;7,2%;27,5%;Yes;;;;;;;;
E Waterbedrijven en afvalbeheer-2025Q1-10 tot 100 werkzame personen;E Waterbedrijven en afvalbeheer;E;2025Q1;Vitens N.V.;5069581;6,7;6,3;6,5; € 3.934 ; € 47.208 ; € 2.313.192 ;10 tot 100 werkzame personen;39;1970;10;1980;49;Men;Old;52; € 208.617,48 ; € 181.406,50 ;7,84%;9,02%; € 4.257,50 ;315;15%;5,74; € 152.929,85 ;6,61%; € 3.121,02 ; € -55.687,63 ; € -1.136,48 ;-27%;2,1%;6,5%;-1,3%;0,8%;6,6%;9,0%;26,7%;Yes;;;;;;;;
F Bouwnijverheid-2025Q1-10 tot 100 werkzame personen;F Bouwnijverheid;F;2025Q1;BAM Groep nv;30058019;5,3;4,8;5,05; € 4.197 ; € 50.364 ; € 2.467.836 ;10 tot 100 werkzame personen;39;1970;10;1980;49;Men;Old;52; € 180.590,04 ; € 157.034,82 ;6,36%;7,32%; € 3.685,51 ;315;15%;4,08; € 116.163,78 ;4,71%; € 2.370,69 ; € -64.426,26 ; € -1.314,82 ;-36%;2,3%;4,6%;-1,8%;0,5%;4,7%;7,3%;35,7%;Yes;;;;;;;;
G Handel-2025Q1-10 tot 100 werkzame personen;G Handel;G;2025Q1;Ahold Delhaize;34166262;5;4,6;4,8; € 2.534 ; € 30.408 ; € 1.489.992 ;10 tot 100 werkzame personen;39;1970;10;1980;49;Men;Old;52; € 107.109,36 ; € 93.138,57 ;6,25%;7,19%; € 2.185,91 ;315;15%;4,61; € 79.243,11 ;5,32%; € 1.617,21 ; € -27.866,25 ; € -568,70 ;-26%;1,6%;4,6%;-1,7%;0,0%;5,3%;7,2%;26,0%;Yes;;;;;;;;
H Vervoer en opslag-2025Q1-10 tot 100 werkzame personen;H Vervoer en opslag;H;2025Q1;KLM Royal Dutch Airlines;33014286;6,4;6,3;6,35; € 3.476 ; € 41.712 ; € 2.043.888 ;10 tot 100 werkzame personen;39;1970;10;1980;49;Men;Old;52; € 184.046,88 ; € 160.040,77 ;7,83%;9,00%; € 3.756,06 ;315;15%;5,81; € 136.917,20 ;6,70%; € 2.794,23 ; € -47.129,68 ; € -961,83 ;-26%;2,0%;6,2%;-1,6%;0,4%;6,7%;9,0%;25,6%;Yes;;;;;;;;
I Horeca-2025Q1-10 tot 100 werkzame personen;I Horeca;I;2025Q1;Van der Valk Hotels & Restaurants;61988243;4,7;3,9;4,3; € 1.401 ; € 16.812 ; € 823.788 ;10 tot 100 werkzame personen;39;1970;10;1980;49;Men;Old;52; € 90.889,56 ; € 79.034,40 ;9,59%;11,03%; € 1.854,89 ;315;15%;3,80; € 36.309,22 ;4,41%; € 741,00 ; € -54.580,34 ; € -1.113,88 ;-60%;5,8%;3,4%;-6,2%;-0,4%;4,4%;11,0%;60,1%;Yes;;;;;;;;
J Informatie en communicatie-2025Q1-10 tot 100 werkzame personen;J Informatie en communicatie;J;2025Q1;KPN N.V.;2045200;3,9;3,9;3,9; € 4.813 ; € 57.756 ; € 2.830.044 ;10 tot 100 werkzame personen;39;1970;10;1980;49;Men;Old;52; € 199.258,80 ; € 173.268,52 ;6,12%;7,04%; € 4.066,51 ;315;15%;3,92; € 128.015,70 ;4,52%; € 2.612,57 ; € -71.243,10 ; € -1.453,94 ;-36%;2,2%;3,8%;-2,3%;-0,1%;4,5%;7,0%;35,8%;Yes;;;;;;;;
K Financiële dienstverlening-2025Q1-10 tot 100 werkzame personen;K Financiële dienstverlening;K;2025Q1;ING Bank N.V.;33031431;3,2;3,3;3,25; € 5.564 ; € 66.768 ; € 3.271.632 ;10 tot 100 werkzame personen;39;1970;10;1980;49;Men;Old;52; € 233.780,64 ; € 203.287,51 ;6,21%;7,15%; € 4.771,03 ;315;15%;3,55; € 134.024,81 ;4,10%; € 2.735,20 ; € -99.755,83 ; € -2.035,83 ;-43%;2,7%;3,8%;-2,4%;0,2%;4,1%;7,1%;42,7%;Yes;;;;;;;;
L Verhuur en handel van onroerend goed-2025Q1-10 tot 100 werkzame personen;L Verhuur en handel van onroerend goed;L;2025Q1;Vesteda Investment Management B.V.;14071789;4,3;4,2;4,25; € 3.940 ; € 47.280 ; € 2.316.720 ;10 tot 100 werkzame personen;39;1970;10;1980;49;Men;Old;52; € 203.955,84 ; € 177.352,90 ;7,66%;8,80%; € 4.162,36 ;315;15%;3,57; € 95.327,55 ;4,11%; € 1.945,46 ; € -108.628,29 ; € -2.216,90 ;-53%;4,1%;3,8%;-3,9%;0,2%;4,1%;8,8%;53,3%;Yes;;;;;;;;
M Specialistische zakelijke diensten-2025Q1-10 tot 100 werkzame personen;M Specialistische zakelijke diensten;M;2025Q1;Deloitte Nederland;24283607;3,8;3,6;3,7; € 4.519 ; € 54.228 ; € 2.657.172 ;10 tot 100 werkzame personen;39;1970;10;1980;49;Men;Old;52; € 129.409,44 ; € 112.529,95 ;4,23%;4,87%; € 2.641,01 ;315;15%;3,19; € 97.831,09 ;3,68%; € 1.996,55 ; € -31.578,35 ; € -644,46 ;-24%;1,0%;3,4%;-0,8%;0,2%;3,7%;4,9%;24,4%;Yes;;;;;;;;
N Verhuur en overige zakelijke diensten-2025Q1-10 tot 100 werkzame personen;N Verhuur en overige zakelijke diensten;N;2025Q1;Randstad Nederland B.V.;33149482;4,9;4,6;4,75; € 2.339 ; € 28.068 ; € 1.375.332 ;10 tot 100 werkzame personen;39;1970;10;1980;49;Men;Old;52; € 148.483,20 ; € 129.115,83 ;9,39%;10,80%; € 3.030,27 ;315;15%;4,46; € 70.840,32 ;5,15%; € 1.445,72 ; € -77.642,88 ; € -1.584,55 ;-52%;4,9%;4,7%;-4,7%;0,2%;5,2%;10,8%;52,3%;Yes;;;;;;;;
O Openbaar bestuur en overheidsdiensten-2025Q1-10 tot 100 werkzame personen;O Openbaar bestuur en overheidsdiensten;O;2025Q1;Gemeente Utrecht;30280353;6,1;6;6,05; € 4.431 ; € 53.172 ; € 2.605.428 ;10 tot 100 werkzame personen;39;1970;10;1980;49;Men;Old;52; € 178.663,08 ; € 155.359,20 ;5,96%;6,86%; € 3.646,19 ;315;15%;5,66; € 169.798,77 ;6,52%; € 3.465,28 ; € -8.864,31 ; € -180,90 ;-5%;0,3%;6,1%;0,1%;0,4%;6,5%;6,9%;5,0%;Yes;;;;;;;;
P Onderwijs-2025Q1-10 tot 100 werkzame personen;P Onderwijs;P;2025Q1;Universiteit van Amsterdam;34370207;5,7;5,6;5,65; € 3.599 ; € 43.188 ; € 2.116.212 ;10 tot 100 werkzame personen;39;1970;10;1980;49;Men;Old;52; € 215.898,72 ; € 187.738,02 ;8,87%;10,20%; € 4.406,10 ;315;15%;5,34; € 130.253,59 ;6,16%; € 2.658,24 ; € -85.645,13 ; € -1.747,86 ;-40%;3,5%;5,6%;-3,3%;0,3%;6,2%;10,2%;39,7%;Yes;;;;;;;;
Q Gezondheids- en welzijnszorg-2025Q1-10 tot 100 werkzame personen;Q Gezondheids- en welzijnszorg;Q;2025Q1;Vrije Universiteit;53815211;7,9;7,4;7,65; € 2.847 ; € 34.164 ; € 1.674.036 ;10 tot 100 werkzame personen;39;1970;10;1980;49;Men;Old;52; € 202.792,92 ; € 176.341,67 ;10,53%;12,11%; € 4.138,63 ;315;15%;6,95; € 134.119,55 ;8,01%; € 2.737,13 ; € -68.673,37 ; € -1.401,50 ;-34%;3,6%;7,3%;-3,2%;0,3%;8,0%;12,1%;33,9%;Yes;;;;;;;;
